Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Salmon,"['Rosemary', 'Thyme', 'Basil']","['Chocolate', 'Cucumber']",Mediterranean,Fall,Good for Heart Health,5,2,"['C', 'K']"
Salmon,"['Thyme', 'Parmesan', 'Garlic']","['Chocolate', 'Ketchup']",Indian,Winter,Boosts Immunity,25,5,"['K', 'B']"
Salmon,"['Soy Sauce', 'Parmesan', 'Thyme']","['Ketchup', 'Cucumber']",Indian,Spring,Rich in Antioxidants,25,2,"['B', 'E']"
Brussels Sprouts,"['Garlic', 'Basil', 'Rosemary']","['Coffee', 'Banana']",French,Winter,Boosts Immunity,25,2,"['A', 'B']"
Apple,"['Ginger', 'Soy Sauce', 'Olive Oil']","['Chocolate', 'Coffee']",Korean,Winter,Boosts Immunity,10,15,"['A', 'D']"
Carrot,"['Ginger', 'Rosemary', 'Thyme']","['Cucumber', 'Orange']",Japanese,Spring,Supports Digestion,30,2,"['C', 'E']"
Tomato,"['Soy Sauce', 'Parmesan', 'Olive Oil']","['Peanut Butter', 'Coffee']",French,Spring,Boosts Immunity,5,18,"['E', 'A']"
Apple,"['Thyme', 'Soy Sauce', 'Basil']","['Banana', 'Chocolate']",Korean,Fall,Good for Heart Health,30,8,"['C', 'K']"
Pumpkin,"['Thyme', 'Ginger', 'Honey']","['Peanut Butter', 'Banana']",Thai,Summer,High in Protein,25,5,"['K', 'A']"
Chicken,"['Rosemary', 'Olive Oil', 'Ginger']","['Tea', 'Ketchup']",Korean,Spring,Supports Digestion,10,8,"['E', 'C']"
Salmon,"['Basil', 'Soy Sauce', 'Lemon']","['Vinegar', 'Milk']",Chinese,Summer,Good for Heart Health,10,2,"['B', 'D']"
Asparagus,"['Ginger', 'Thyme', 'Parmesan']","['Orange', 'Peanut Butter']",Mexican,Summer,Supports Digestion,5,5,"['D', 'K']"
Apple,"['Olive Oil', 'Thyme', 'Rosemary']","['Chocolate', 'Cucumber']",American,Summer,Rich in Antioxidants,5,18,"['E', 'A']"
Chicken,"['Parmesan', 'Olive Oil', 'Honey']","['Milk', 'Ketchup']",Thai,Fall,Rich in Antioxidants,25,12,"['C', 'K']"
Beef,"['Soy Sauce', 'Ginger', 'Basil']","['Peanut Butter', 'Cucumber']",Italian,Fall,Supports Digestion,10,15,"['A', 'K']"
Beef,"['Honey', 'Rosemary', 'Parmesan']","['Chocolate', 'Tea']",Mexican,Summer,High in Protein,30,18,"['K', 'E']"
Salmon,"['Basil', 'Honey', 'Soy Sauce']","['Tea', 'Banana']",Thai,Winter,Rich in Antioxidants,20,5,"['D', 'A']"
Beef,"['Ginger', 'Honey', 'Olive Oil']","['Cucumber', 'Orange']",Indian,Spring,Supports Digestion,15,8,"['A', 'C']"
Asparagus,"['Thyme', 'Rosemary', 'Honey']","['Orange', 'Coffee']",Italian,Summer,Rich in Antioxidants,25,12,"['E', 'K']"
Asparagus,"['Soy Sauce', 'Honey', 'Garlic']","['Tea', 'Chocolate']",Japanese,Spring,Good for Heart Health,20,8,"['A', 'C']"
Apple,"['Lemon', 'Thyme', 'Honey']","['Chocolate', 'Coffee']",Japanese,Winter,Good for Heart Health,10,8,"['D', 'K']"
Mushroom,"['Olive Oil', 'Rosemary', 'Lemon']","['Tea', 'Milk']",Italian,Fall,Supports Digestion,5,2,"['C', 'E']"
Pumpkin,"['Ginger', 'Thyme', 'Olive Oil']","['Chocolate', 'Ketchup']",American,Summer,High in Protein,30,5,"['B', 'A']"
Carrot,"['Parmesan', 'Honey', 'Soy Sauce']","['Cucumber', 'Banana']",Chinese,Spring,High in Protein,30,12,"['A', 'D']"
Salmon,"['Honey', 'Basil', 'Olive Oil']","['Milk', 'Coffee']",Japanese,Summer,High in Protein,20,5,"['K', 'D']"
Tomato,"['Thyme', 'Rosemary', 'Basil']","['Cucumber', 'Banana']",Japanese,Spring,Rich in Antioxidants,5,8,"['K', 'C']"
Carrot,"['Thyme', 'Basil', 'Lemon']","['Peanut Butter', 'Coffee']",Italian,Summer,Boosts Immunity,5,2,"['A', 'K']"
Mushroom,"['Thyme', 'Basil', 'Rosemary']","['Banana', 'Ketchup']",Thai,Fall,Rich in Antioxidants,25,8,"['B', 'C']"
Asparagus,"['Lemon', 'Garlic', 'Thyme']","['Ketchup', 'Chocolate']",Thai,Winter,High in Protein,10,12,"['K', 'E']"
Beef,"['Basil', 'Parmesan', 'Garlic']","['Coffee', 'Orange']",Mediterranean,Summer,High in Protein,10,12,"['E', 'D']"
Tomato,"['Garlic', 'Thyme', 'Honey']","['Tea', 'Chocolate']",Korean,Spring,Good for Heart Health,5,18,"['K', 'B']"
Mushroom,"['Parmesan', 'Thyme', 'Garlic']","['Chocolate', 'Peanut Butter']",Japanese,Summer,Supports Digestion,10,2,"['K', 'A']"
Tomato,"['Parmesan', 'Garlic', 'Soy Sauce']","['Orange', 'Ketchup']",Japanese,Spring,Supports Digestion,15,18,"['D', 'C']"
Chicken,"['Rosemary', 'Basil', 'Thyme']","['Milk', 'Ketchup']",Mexican,Winter,Boosts Immunity,15,8,"['E', 'C']"
Tomato,"['Olive Oil', 'Soy Sauce', 'Parmesan']","['Orange', 'Coffee']",French,Winter,High in Protein,20,15,"['A', 'E']"
Carrot,"['Parmesan', 'Olive Oil', 'Rosemary']","['Orange', 'Milk']",Korean,Fall,Good for Heart Health,5,12,"['D', 'C']"
Salmon,"['Thyme', 'Garlic', 'Honey']","['Peanut Butter', 'Vinegar']",French,Summer,Good for Heart Health,10,15,"['E', 'D']"
Asparagus,"['Rosemary', 'Soy Sauce', 'Ginger']","['Banana', 'Chocolate']",Thai,Summer,Rich in Antioxidants,30,8,"['B', 'E']"
Pumpkin,"['Soy Sauce', 'Olive Oil', 'Honey']","['Chocolate', 'Cucumber']",American,Winter,Supports Digestion,15,12,"['A', 'B']"
Salmon,"['Garlic', 'Ginger', 'Basil']","['Peanut Butter', 'Vinegar']",Mexican,Winter,Rich in Antioxidants,30,8,"['D', 'B']"
Tomato,"['Olive Oil', 'Soy Sauce', 'Ginger']","['Coffee', 'Tea']",Indian,Spring,Boosts Immunity,15,5,"['B', 'A']"
Chicken,"['Ginger', 'Thyme', 'Honey']","['Vinegar', 'Peanut Butter']",Thai,Summer,Boosts Immunity,20,2,"['C', 'B']"
Salmon,"['Olive Oil', 'Parmesan', 'Garlic']","['Ketchup', 'Milk']",Indian,Winter,Good for Heart Health,20,12,"['A', 'K']"
Asparagus,"['Ginger', 'Rosemary', 'Thyme']","['Milk', 'Cucumber']",French,Winter,Supports Digestion,15,2,"['A', 'K']"
Pumpkin,"['Lemon', 'Honey', 'Basil']","['Orange', 'Ketchup']",Mediterranean,Summer,Rich in Antioxidants,25,2,"['E', 'C']"
Beef,"['Ginger', 'Soy Sauce', 'Parmesan']","['Ketchup', 'Cucumber']",Indian,Spring,Supports Digestion,25,2,"['K', 'C']"
Chicken,"['Lemon', 'Olive Oil', 'Ginger']","['Vinegar', 'Milk']",Indian,Summer,Supports Digestion,5,12,"['A', 'D']"
Apple,"['Olive Oil', 'Garlic', 'Basil']","['Tea', 'Orange']",Korean,Winter,High in Protein,5,2,"['E', 'A']"
Tomato,"['Basil', 'Rosemary', 'Soy Sauce']","['Ketchup', 'Vinegar']",American,Fall,Rich in Antioxidants,25,5,"['E', 'B']"
Chicken,"['Honey', 'Lemon', 'Garlic']","['Tea', 'Orange']",Italian,Fall,Rich in Antioxidants,25,5,"['E', 'B']"
Beef,"['Olive Oil', 'Parmesan', 'Thyme']","['Tea', 'Peanut Butter']",Chinese,Fall,Rich in Antioxidants,15,2,"['D', 'B']"
Asparagus,"['Garlic', 'Rosemary', 'Honey']","['Chocolate', 'Orange']",Japanese,Fall,High in Protein,30,8,"['D', 'E']"
Pumpkin,"['Thyme', 'Garlic', 'Rosemary']","['Orange', 'Tea']",Thai,Fall,High in Protein,15,12,"['K', 'E']"
Tomato,"['Basil', 'Soy Sauce', 'Honey']","['Ketchup', 'Vinegar']",Italian,Summer,Good for Heart Health,5,12,"['A', 'K']"
Tomato,"['Olive Oil', 'Honey', 'Soy Sauce']","['Banana', 'Cucumber']",Chinese,Fall,Good for Heart Health,15,18,"['C', 'K']"
Pumpkin,"['Rosemary', 'Olive Oil', 'Garlic']","['Ketchup', 'Peanut Butter']",Italian,Fall,Rich in Antioxidants,30,12,"['K', 'D']"
Apple,"['Parmesan', 'Ginger', 'Olive Oil']","['Peanut Butter', 'Banana']",Italian,Fall,Good for Heart Health,30,8,"['K', 'E']"
Carrot,"['Parmesan', 'Basil', 'Olive Oil']","['Coffee', 'Ketchup']",American,Summer,Rich in Antioxidants,20,18,"['A', 'K']"
Apple,"['Ginger', 'Thyme', 'Basil']","['Coffee', 'Peanut Butter']",Korean,Fall,High in Protein,25,5,"['A', 'D']"
Carrot,"['Ginger', 'Garlic', 'Parmesan']","['Chocolate', 'Banana']",Mexican,Fall,Boosts Immunity,5,2,"['K', 'A']"
Asparagus,"['Ginger', 'Lemon', 'Rosemary']","['Cucumber', 'Vinegar']",Chinese,Winter,Good for Heart Health,15,18,"['K', 'B']"
Brussels Sprouts,"['Rosemary', 'Basil', 'Ginger']","['Cucumber', 'Banana']",Thai,Fall,Rich in Antioxidants,30,18,"['E', 'A']"
Brussels Sprouts,"['Garlic', 'Thyme', 'Honey']","['Milk', 'Cucumber']",Japanese,Winter,Rich in Antioxidants,25,15,"['A', 'C']"
Chicken,"['Rosemary', 'Basil', 'Honey']","['Milk', 'Peanut Butter']",Mexican,Fall,Good for Heart Health,20,12,"['E', 'A']"
Salmon,"['Lemon', 'Olive Oil', 'Ginger']","['Chocolate', 'Tea']",Korean,Summer,Rich in Antioxidants,30,2,"['D', 'E']"
Brussels Sprouts,"['Ginger', 'Rosemary', 'Basil']","['Ketchup', 'Milk']",Italian,Summer,Boosts Immunity,20,2,"['D', 'C']"
Chicken,"['Ginger', 'Rosemary', 'Soy Sauce']","['Chocolate', 'Milk']",Mediterranean,Winter,Rich in Antioxidants,25,18,"['A', 'E']"
Carrot,"['Honey', 'Basil', 'Lemon']","['Milk', 'Tea']",American,Summer,Supports Digestion,25,15,"['E', 'A']"
Salmon,"['Honey', 'Thyme', 'Parmesan']","['Chocolate', 'Milk']",French,Fall,Supports Digestion,20,15,"['C', 'A']"
Mushroom,"['Honey', 'Garlic', 'Rosemary']","['Ketchup', 'Chocolate']",Indian,Fall,High in Protein,30,18,"['D', 'B']"
Salmon,"['Soy Sauce', 'Garlic', 'Lemon']","['Milk', 'Banana']",Mediterranean,Spring,Good for Heart Health,30,5,"['B', 'E']"
Asparagus,"['Garlic', 'Basil', 'Lemon']","['Tea', 'Orange']",Mexican,Summer,Good for Heart Health,15,12,"['C', 'E']"
Chicken,"['Thyme', 'Olive Oil', 'Lemon']","['Chocolate', 'Tea']",Thai,Spring,Boosts Immunity,15,15,"['A', 'B']"
Carrot,"['Garlic', 'Soy Sauce', 'Olive Oil']","['Milk', 'Banana']",Mediterranean,Summer,Rich in Antioxidants,30,2,"['A', 'C']"
Beef,"['Rosemary', 'Parmesan', 'Honey']","['Tea', 'Orange']",Indian,Fall,Rich in Antioxidants,15,15,"['B', 'C']"
Tomato,"['Olive Oil', 'Ginger', 'Rosemary']","['Chocolate', 'Coffee']",Japanese,Summer,Supports Digestion,20,8,"['D', 'B']"
Beef,"['Olive Oil', 'Lemon', 'Rosemary']","['Cucumber', 'Tea']",American,Spring,Rich in Antioxidants,30,8,"['A', 'C']"
Mushroom,"['Garlic', 'Thyme', 'Parmesan']","['Cucumber', 'Chocolate']",Indian,Winter,High in Protein,15,5,"['K', 'B']"
Salmon,"['Garlic', 'Honey', 'Lemon']","['Ketchup', 'Cucumber']",Indian,Spring,Rich in Antioxidants,20,18,"['B', 'E']"
Tomato,"['Rosemary', 'Olive Oil', 'Lemon']","['Cucumber', 'Ketchup']",Chinese,Winter,High in Protein,20,2,"['D', 'A']"
Beef,"['Garlic', 'Ginger', 'Thyme']","['Banana', 'Tea']",Italian,Fall,Good for Heart Health,20,5,"['A', 'D']"
Salmon,"['Lemon', 'Ginger', 'Honey']","['Cucumber', 'Peanut Butter']",French,Summer,Rich in Antioxidants,10,18,"['A', 'B']"
Salmon,"['Basil', 'Rosemary', 'Thyme']","['Cucumber', 'Orange']",French,Fall,Supports Digestion,5,15,"['K', 'E']"
Carrot,"['Rosemary', 'Soy Sauce', 'Basil']","['Coffee', 'Vinegar']",Japanese,Summer,Boosts Immunity,25,8,"['C', 'E']"
Pumpkin,"['Garlic', 'Soy Sauce', 'Basil']","['Banana', 'Ketchup']",Japanese,Fall,Boosts Immunity,20,2,"['B', 'A']"
Asparagus,"['Ginger', 'Lemon', 'Honey']","['Peanut Butter', 'Tea']",Chinese,Fall,High in Protein,20,18,"['E', 'D']"
Beef,"['Lemon', 'Honey', 'Soy Sauce']","['Chocolate', 'Ketchup']",Japanese,Winter,Good for Heart Health,20,12,"['C', 'E']"
Salmon,"['Lemon', 'Parmesan', 'Soy Sauce']","['Orange', 'Peanut Butter']",Chinese,Fall,Boosts Immunity,30,12,"['B', 'A']"
Beef,"['Olive Oil', 'Parmesan', 'Rosemary']","['Milk', 'Orange']",Korean,Winter,Good for Heart Health,5,15,"['K', 'C']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Garlic']","['Banana', 'Chocolate']",Italian,Fall,Boosts Immunity,15,8,"['C', 'D']"
Mushroom,"['Thyme', 'Basil', 'Olive Oil']","['Cucumber', 'Milk']",French,Winter,High in Protein,20,8,"['D', 'B']"
Carrot,"['Ginger', 'Parmesan', 'Soy Sauce']","['Cucumber', 'Banana']",American,Spring,High in Protein,25,18,"['E', 'K']"
Beef,"['Rosemary', 'Olive Oil', 'Lemon']","['Chocolate', 'Ketchup']",Italian,Summer,High in Protein,30,12,"['E', 'K']"
Carrot,"['Thyme', 'Basil', 'Olive Oil']","['Tea', 'Cucumber']",Mexican,Fall,Boosts Immunity,15,12,"['A', 'D']"
Carrot,"['Honey', 'Thyme', 'Lemon']","['Peanut Butter', 'Tea']",French,Winter,Good for Heart Health,20,18,"['B', 'D']"
Brussels Sprouts,"['Thyme', 'Honey', 'Lemon']","['Banana', 'Ketchup']",Chinese,Summer,Boosts Immunity,15,12,"['B', 'C']"
Pumpkin,"['Olive Oil', 'Honey', 'Lemon']","['Vinegar', 'Milk']",Chinese,Fall,Boosts Immunity,10,12,"['C', 'D']"
Apple,"['Basil', 'Parmesan', 'Garlic']","['Milk', 'Tea']",Thai,Spring,Good for Heart Health,10,5,"['K', 'A']"
Carrot,"['Rosemary', 'Parmesan', 'Garlic']","['Chocolate', 'Tea']",Japanese,Winter,High in Protein,25,18,"['A', 'D']"
Brussels Sprouts,"['Olive Oil', 'Soy Sauce', 'Honey']","['Banana', 'Ketchup']",Japanese,Winter,Boosts Immunity,25,8,"['K', 'B']"
Chicken,"['Basil', 'Olive Oil', 'Parmesan']","['Cucumber', 'Chocolate']",French,Winter,Supports Digestion,10,12,"['B', 'E']"
Mushroom,"['Garlic', 'Parmesan', 'Basil']","['Chocolate', 'Milk']",Japanese,Summer,Supports Digestion,5,18,"['D', 'E']"
Chicken,"['Soy Sauce', 'Ginger', 'Olive Oil']","['Coffee', 'Peanut Butter']",Korean,Winter,Good for Heart Health,30,2,"['B', 'D']"
Brussels Sprouts,"['Garlic', 'Honey', 'Lemon']","['Milk', 'Cucumber']",Indian,Spring,Good for Heart Health,20,2,"['A', 'K']"
Mushroom,"['Thyme', 'Lemon', 'Basil']","['Milk', 'Cucumber']",Indian,Spring,Boosts Immunity,30,5,"['K', 'B']"
Asparagus,"['Soy Sauce', 'Thyme', 'Olive Oil']","['Ketchup', 'Milk']",Thai,Fall,Rich in Antioxidants,15,18,"['E', 'B']"
Salmon,"['Olive Oil', 'Parmesan', 'Soy Sauce']","['Chocolate', 'Tea']",American,Fall,Rich in Antioxidants,30,8,"['C', 'E']"
Carrot,"['Lemon', 'Rosemary', 'Thyme']","['Peanut Butter', 'Chocolate']",Mediterranean,Spring,Rich in Antioxidants,20,12,"['E', 'C']"
Salmon,"['Honey', 'Lemon', 'Rosemary']","['Coffee', 'Milk']",Mediterranean,Winter,Rich in Antioxidants,15,5,"['C', 'A']"
Carrot,"['Garlic', 'Ginger', 'Rosemary']","['Coffee', 'Orange']",Japanese,Fall,Boosts Immunity,30,15,"['E', 'B']"
Asparagus,"['Honey', 'Basil', 'Rosemary']","['Ketchup', 'Vinegar']",Indian,Summer,Good for Heart Health,20,18,"['E', 'D']"
Pumpkin,"['Soy Sauce', 'Ginger', 'Rosemary']","['Vinegar', 'Coffee']",Indian,Summer,High in Protein,15,12,"['D', 'A']"
Tomato,"['Basil', 'Lemon', 'Thyme']","['Chocolate', 'Cucumber']",American,Spring,High in Protein,30,8,"['A', 'E']"
Brussels Sprouts,"['Lemon', 'Ginger', 'Soy Sauce']","['Peanut Butter', 'Chocolate']",Mediterranean,Winter,High in Protein,30,12,"['D', 'E']"
Pumpkin,"['Olive Oil', 'Basil', 'Thyme']","['Peanut Butter', 'Tea']",Indian,Fall,Rich in Antioxidants,10,15,"['C', 'E']"
Salmon,"['Thyme', 'Honey', 'Garlic']","['Cucumber', 'Vinegar']",Mexican,Summer,Boosts Immunity,30,18,"['A', 'E']"
Salmon,"['Thyme', 'Basil', 'Olive Oil']","['Tea', 'Ketchup']",Korean,Winter,High in Protein,10,15,"['E', 'K']"
Tomato,"['Ginger', 'Thyme', 'Lemon']","['Orange', 'Milk']",French,Spring,Good for Heart Health,30,12,"['C', 'E']"
Salmon,"['Thyme', 'Lemon', 'Ginger']","['Orange', 'Milk']",Korean,Summer,Rich in Antioxidants,20,12,"['A', 'C']"
Salmon,"['Basil', 'Thyme', 'Rosemary']","['Cucumber', 'Vinegar']",Mediterranean,Winter,Supports Digestion,25,8,"['A', 'E']"
Carrot,"['Parmesan', 'Garlic', 'Thyme']","['Chocolate', 'Tea']",Japanese,Winter,Good for Heart Health,10,8,"['K', 'B']"
Brussels Sprouts,"['Lemon', 'Soy Sauce', 'Olive Oil']","['Orange', 'Peanut Butter']",French,Fall,Rich in Antioxidants,10,5,"['A', 'B']"
Mushroom,"['Honey', 'Soy Sauce', 'Lemon']","['Milk', 'Cucumber']",Chinese,Fall,Good for Heart Health,10,18,"['B', 'D']"
Asparagus,"['Garlic', 'Rosemary', 'Parmesan']","['Tea', 'Coffee']",Chinese,Summer,Boosts Immunity,10,2,"['A', 'K']"
Brussels Sprouts,"['Soy Sauce', 'Garlic', 'Thyme']","['Tea', 'Banana']",Italian,Spring,Supports Digestion,30,8,"['E', 'D']"
Carrot,"['Olive Oil', 'Ginger', 'Soy Sauce']","['Chocolate', 'Banana']",Thai,Summer,High in Protein,20,2,"['E', 'D']"
Tomato,"['Ginger', 'Rosemary', 'Parmesan']","['Orange', 'Banana']",French,Winter,Good for Heart Health,25,2,"['K', 'D']"
Salmon,"['Lemon', 'Parmesan', 'Basil']","['Orange', 'Cucumber']",French,Winter,Supports Digestion,15,2,"['D', 'E']"
Beef,"['Rosemary', 'Thyme', 'Garlic']","['Cucumber', 'Ketchup']",Mediterranean,Winter,Rich in Antioxidants,25,8,"['B', 'A']"
Brussels Sprouts,"['Olive Oil', 'Basil', 'Soy Sauce']","['Peanut Butter', 'Chocolate']",Indian,Fall,Supports Digestion,10,5,"['A', 'K']"
Chicken,"['Olive Oil', 'Lemon', 'Basil']","['Peanut Butter', 'Tea']",Italian,Fall,Rich in Antioxidants,15,2,"['D', 'B']"
Apple,"['Ginger', 'Parmesan', 'Rosemary']","['Cucumber', 'Coffee']",Mediterranean,Spring,Good for Heart Health,5,15,"['E', 'C']"
Tomato,"['Parmesan', 'Soy Sauce', 'Honey']","['Tea', 'Vinegar']",Japanese,Fall,Good for Heart Health,5,2,"['D', 'A']"
Chicken,"['Ginger', 'Garlic', 'Basil']","['Peanut Butter', 'Coffee']",Thai,Fall,Good for Heart Health,20,8,"['B', 'A']"
Brussels Sprouts,"['Garlic', 'Lemon', 'Olive Oil']","['Banana', 'Milk']",Mediterranean,Summer,Good for Heart Health,20,18,"['E', 'D']"
Beef,"['Ginger', 'Soy Sauce', 'Olive Oil']","['Coffee', 'Peanut Butter']",Chinese,Spring,High in Protein,30,8,"['D', 'C']"
Mushroom,"['Rosemary', 'Soy Sauce', 'Garlic']","['Cucumber', 'Tea']",Japanese,Summer,Rich in Antioxidants,20,18,"['D', 'K']"
Asparagus,"['Olive Oil', 'Soy Sauce', 'Thyme']","['Banana', 'Orange']",Indian,Spring,Good for Heart Health,15,8,"['A', 'D']"
Brussels Sprouts,"['Parmesan', 'Basil', 'Ginger']","['Banana', 'Tea']",Chinese,Fall,Boosts Immunity,10,15,"['K', 'B']"
Tomato,"['Garlic', 'Olive Oil', 'Parmesan']","['Ketchup', 'Chocolate']",Chinese,Summer,High in Protein,15,5,"['K', 'B']"
Apple,"['Honey', 'Basil', 'Garlic']","['Ketchup', 'Tea']",Chinese,Summer,Supports Digestion,10,5,"['D', 'E']"
Asparagus,"['Olive Oil', 'Ginger', 'Thyme']","['Milk', 'Vinegar']",Japanese,Fall,Rich in Antioxidants,10,15,"['K', 'B']"
Brussels Sprouts,"['Honey', 'Olive Oil', 'Rosemary']","['Milk', 'Orange']",American,Spring,Good for Heart Health,10,2,"['A', 'E']"
Asparagus,"['Lemon', 'Honey', 'Thyme']","['Peanut Butter', 'Coffee']",American,Winter,Good for Heart Health,20,8,"['K', 'E']"
Mushroom,"['Parmesan', 'Basil', 'Rosemary']","['Milk', 'Chocolate']",Indian,Summer,Supports Digestion,20,5,"['B', 'C']"
Carrot,"['Parmesan', 'Honey', 'Basil']","['Ketchup', 'Peanut Butter']",French,Spring,Good for Heart Health,10,12,"['A', 'K']"
Pumpkin,"['Olive Oil', 'Basil', 'Garlic']","['Orange', 'Peanut Butter']",Mediterranean,Winter,Rich in Antioxidants,15,2,"['B', 'D']"
Beef,"['Rosemary', 'Olive Oil', 'Thyme']","['Vinegar', 'Chocolate']",Thai,Summer,High in Protein,10,2,"['C', 'A']"
Tomato,"['Thyme', 'Basil', 'Honey']","['Ketchup', 'Vinegar']",Chinese,Summer,Supports Digestion,20,15,"['D', 'K']"
Mushroom,"['Garlic', 'Honey', 'Parmesan']","['Chocolate', 'Coffee']",French,Fall,Good for Heart Health,20,2,"['A', 'K']"
Beef,"['Thyme', 'Lemon', 'Olive Oil']","['Chocolate', 'Coffee']",American,Spring,Supports Digestion,20,2,"['A', 'K']"
Salmon,"['Parmesan', 'Garlic', 'Rosemary']","['Cucumber', 'Coffee']",Italian,Summer,High in Protein,5,18,"['C', 'B']"
Salmon,"['Garlic', 'Thyme', 'Honey']","['Ketchup', 'Milk']",American,Winter,Boosts Immunity,20,15,"['E', 'D']"
Chicken,"['Garlic', 'Honey', 'Olive Oil']","['Orange', 'Cucumber']",French,Winter,Boosts Immunity,30,5,"['E', 'C']"
Brussels Sprouts,"['Rosemary', 'Basil', 'Lemon']","['Banana', 'Vinegar']",Mexican,Summer,Boosts Immunity,25,12,"['C', 'D']"
Apple,"['Basil', 'Parmesan', 'Honey']","['Peanut Butter', 'Vinegar']",Korean,Winter,Boosts Immunity,25,18,"['E', 'D']"
Beef,"['Olive Oil', 'Basil', 'Honey']","['Milk', 'Chocolate']",American,Spring,Good for Heart Health,20,15,"['B', 'A']"
Apple,"['Basil', 'Soy Sauce', 'Ginger']","['Coffee', 'Vinegar']",Mediterranean,Fall,High in Protein,20,12,"['D', 'K']"
Tomato,"['Rosemary', 'Soy Sauce', 'Thyme']","['Peanut Butter', 'Orange']",Indian,Winter,Supports Digestion,20,18,"['K', 'E']"
Asparagus,"['Lemon', 'Thyme', 'Soy Sauce']","['Peanut Butter', 'Ketchup']",Korean,Spring,Supports Digestion,30,18,"['K', 'E']"
Chicken,"['Lemon', 'Thyme', 'Olive Oil']","['Ketchup', 'Peanut Butter']",Italian,Summer,Supports Digestion,20,12,"['E', 'A']"
Brussels Sprouts,"['Honey', 'Ginger', 'Basil']","['Cucumber', 'Ketchup']",French,Spring,Boosts Immunity,15,2,"['B', 'E']"
Apple,"['Thyme', 'Olive Oil', 'Parmesan']","['Ketchup', 'Vinegar']",American,Fall,High in Protein,15,18,"['B', 'C']"
Beef,"['Parmesan', 'Garlic', 'Honey']","['Banana', 'Coffee']",Italian,Summer,Good for Heart Health,20,8,"['A', 'E']"
Brussels Sprouts,"['Olive Oil', 'Soy Sauce', 'Garlic']","['Milk', 'Orange']",Italian,Summer,Rich in Antioxidants,15,12,"['E', 'A']"
Asparagus,"['Soy Sauce', 'Garlic', 'Rosemary']","['Chocolate', 'Peanut Butter']",Korean,Spring,Boosts Immunity,5,15,"['K', 'D']"
Apple,"['Basil', 'Parmesan', 'Olive Oil']","['Milk', 'Ketchup']",Italian,Summer,Supports Digestion,20,18,"['K', 'C']"
Brussels Sprouts,"['Ginger', 'Honey', 'Lemon']","['Chocolate', 'Milk']",Indian,Winter,High in Protein,20,8,"['A', 'D']"
Apple,"['Garlic', 'Basil', 'Soy Sauce']","['Milk', 'Coffee']",Mexican,Summer,Supports Digestion,20,18,"['A', 'D']"
Mushroom,"['Olive Oil', 'Lemon', 'Garlic']","['Orange', 'Ketchup']",Mexican,Summer,High in Protein,5,2,"['D', 'K']"
Pumpkin,"['Thyme', 'Honey', 'Parmesan']","['Chocolate', 'Cucumber']",Mediterranean,Spring,High in Protein,20,2,"['E', 'K']"
Mushroom,"['Soy Sauce', 'Rosemary', 'Thyme']","['Coffee', 'Vinegar']",Thai,Summer,Good for Heart Health,15,2,"['E', 'C']"
Tomato,"['Lemon', 'Basil', 'Rosemary']","['Orange', 'Vinegar']",Mediterranean,Summer,Good for Heart Health,20,5,"['K', 'D']"
Asparagus,"['Ginger', 'Thyme', 'Garlic']","['Orange', 'Chocolate']",Mediterranean,Winter,Supports Digestion,10,12,"['C', 'K']"
Asparagus,"['Olive Oil', 'Lemon', 'Honey']","['Tea', 'Ketchup']",Mexican,Summer,Supports Digestion,25,5,"['K', 'A']"
Chicken,"['Ginger', 'Olive Oil', 'Rosemary']","['Ketchup', 'Cucumber']",Japanese,Summer,High in Protein,30,12,"['E', 'D']"
Beef,"['Basil', 'Soy Sauce', 'Parmesan']","['Tea', 'Banana']",Japanese,Fall,Boosts Immunity,5,8,"['K', 'A']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Rosemary']","['Ketchup', 'Orange']",Korean,Fall,High in Protein,25,18,"['D', 'C']"
Brussels Sprouts,"['Lemon', 'Honey', 'Rosemary']","['Peanut Butter', 'Vinegar']",Chinese,Fall,Supports Digestion,15,15,"['B', 'E']"
Beef,"['Basil', 'Garlic', 'Rosemary']","['Coffee', 'Cucumber']",Thai,Summer,Boosts Immunity,25,2,"['K', 'D']"
Mushroom,"['Ginger', 'Thyme', 'Garlic']","['Peanut Butter', 'Banana']",American,Fall,Good for Heart Health,10,5,"['B', 'K']"
Brussels Sprouts,"['Lemon', 'Soy Sauce', 'Rosemary']","['Ketchup', 'Chocolate']",Korean,Spring,High in Protein,20,18,"['C', 'D']"
Asparagus,"['Rosemary', 'Lemon', 'Parmesan']","['Orange', 'Ketchup']",Indian,Summer,Supports Digestion,10,15,"['C', 'E']"
Pumpkin,"['Soy Sauce', 'Rosemary', 'Garlic']","['Vinegar', 'Ketchup']",French,Fall,Boosts Immunity,10,12,"['A', 'K']"
Beef,"['Soy Sauce', 'Lemon', 'Honey']","['Cucumber', 'Tea']",Japanese,Summer,Rich in Antioxidants,5,12,"['K', 'E']"
Chicken,"['Honey', 'Basil', 'Parmesan']","['Ketchup', 'Chocolate']",Chinese,Fall,Supports Digestion,25,5,"['A', 'K']"
